FlightHistoryId,CutoffTime,ArrivalAirport,ScheduledArrivalTime,CurrentLatitude,CurrentLongitude,CurrentAltitude,CurrentGroundSpeed,StandardPassengerCount,PremiumPassengerCount,FuelRemainingPounds,FuelCost,CrewDelayCost,OtherHourlyCosts,NonarrivalPenalty,DelayCostProportion30m,DelayCostProportion2h,MaxStandardDelayCost,MaxPremiumDelayCost,FreeAltitudeChanges,AltitudeChangeCost,TurbulenceCostPer6Minutes
324474464,2014-01-19 18:43:45+00:00,KSFO,2014-01-19 22:10:00+00:00,34.549999,-101.720001,35000,404,110,13,32312.24722,6.13,686.38,1620.76,100000,0.3,0.544,36.43,159.05,5,100,40
324468698,2014-01-19 18:43:45+00:00,KEWR,2014-01-19 21:30:00+00:00,34.970001,-95.349998,33000,471,140,14,25458.08056,8.43,798.33,1780.17,100000,0.039,0.645,3.68,115.16,5,100,40
324485334,2014-01-19 18:43:45+00:00,KLAX,2014-01-19 20:33:00+00:00,37.07,-109.730003,36000,417,143,15,24541.41389,2.02,332.8,1667.81,100000,0.258,0.52,7.83,115.82,5,100,40
324513413,2014-01-19 18:43:45+00:00,KJFK,2014-01-19 22:55:00+00:00,41.299999,-112.279999,35000,445,107,15,35249.74722,6.71,976.79,1101.56,100000,0.1,0.603,31.97,139.59,5,100,40
324505260,2014-01-19 18:43:45+00:00,KDCA,2014-01-19 22:40:00+00:00,46.869999,-114.370003,37000,502,136,14,33166.41389,6.52,921.99,1927.55,100000,0.017,0.842,3.55,126.65,5,100,40
324482456,2014-01-19 18:43:45+00:00,KMSP,2014-01-19 20:19:00+00:00,36.57,-95.650002,39000,434,119,13,18708.08056,4.33,987.19,1947.16,100000,0.15,0.373,13.67,175.1,5,100,40
324490103,2014-01-19 18:43:45+00:00,KDFW,2014-01-19 19:24:00+00:00,33.799999,-98.900002,28500,475,119,12,15166.41389,7.61,597.61,1997.46,100000,0.032,0.568,37.68,186.19,5,100,40
324502757,2014-01-19 18:43:45+00:00,KBWI,2014-01-19 19:30:00+00:00,39.73,-82.550003,39000,476,109,16,14853.91389,1.75,957.23,1680.93,100000,0.013,0.802,17.91,198.27,5,100,40
324468892,2014-01-19 18:43:45+00:00,KLGA,2014-01-19 19:25:00+00:00,39.27,-75.470001,23900,379,112,13,14770.58056,5.06,916.69,1926.73,100000,0.106,0.717,7.57,98.93,5,100,40
324474312,2014-01-19 18:43:45+00:00,KDTW,2014-01-19 19:43:00+00:00,38.52,-81.379997,34000,416,136,15,16291.41389,8.5,694.67,1351.29,100000,0.017,0.47,24.13,153.62,5,100,40
324513267,2014-01-19 18:43:45+00:00,KBOS,2014-01-19 22:03:00+00:00,42.93,-104.879997,37000,452,139,15,30770.58056,8.35,950.4,1531.45,100000,0.124,0.363,17.6,79.54,5,100,40
324495531,2014-01-19 18:43:45+00:00,KMEM,2014-01-19 19:19:00+00:00,34.450001,-88.629997,22600,365,107,15,12541.41389,5.72,633.05,1541.47,100000,0.096,0.556,11.79,114.85,5,100,40
324463635,2014-01-19 18:43:45+00:00,KMCO,2014-01-19 19:43:00+00:00,31.73,-81.099998,24000,471,138,15,14208.08056,9.91,346.93,1310.88,100000,0.034,0.606,32.67,196.38,5,100,40
324516315,2014-01-19 18:43:45+00:00,KPDX,2014-01-19 20:06:00+00:00,40.130001,-120.919998,40000,442,111,13,16562.24722,7.03,858.8,1022.58,100000,0.115,0.85,9.18,96.96,5,100,40
324516015,2014-01-19 18:43:45+00:00,KSFO,2014-01-19 20:04:00+00:00,40.830002,-114.099998,34400,393,122,12,18562.24722,4.97,363.49,1001.8,100000,0.025,0.605,16,170.84,5,100,40
324474375,2014-01-19 18:43:45+00:00,KLAX,2014-01-19 22:07:00+00:00,31.370001,-92.720001,36000,418,132,13,32333.08056,2.49,534.66,1166.93,100000,0.273,0.743,11.52,121.13,5,100,40
324502317,2014-01-19 18:43:45+00:00,KBUR,2014-01-19 19:35:00+00:00,37.23,-122,30700,419,114,15,12895.58056,7.18,797.03,1111.41,100000,0.049,0.502,13.11,89.92,5,100,40
324513271,2014-01-19 18:43:45+00:00,KBOS,2014-01-19 23:00:00+00:00,41.869999,-113.379997,35000,455,143,16,35833.08056,2.01,471.68,1971.72,100000,0.048,0.52,38.83,142.56,5,100,40
324468701,2014-01-19 18:43:45+00:00,KEWR,2014-01-19 21:25:00+00:00,33.98,-93.599998,35000,444,121,13,24645.58056,6.43,457.38,1199.96,100000,0.023,0.527,36.51,67.9,5,100,40
324512510,2014-01-19 18:43:45+00:00,KPHL,2014-01-19 19:42:00+00:00,38,-78.32,31000,477,118,15,13916.41389,4.55,618.54,1425.35,100000,0.101,0.695,38.29,151.98,5,100,40
324463661,2014-01-19 18:43:45+00:00,KMIA,2014-01-19 20:25:00+00:00,33.650002,-81.07,26200,465,120,14,17958.08056,1.57,658.67,1949.08,100000,0.094,0.683,31.18,106.78,5,100,40
324463600,2014-01-19 18:43:45+00:00,KLGA,2014-01-19 19:49:00+00:00,36.02,-78.919998,27000,402,126,14,15353.91389,6.25,358.05,1413.3,100000,0.02,0.882,13.68,107.76,5,100,40
324513273,2014-01-19 18:43:45+00:00,KBOS,2014-01-19 23:57:00+00:00,38.5,-121.230003,24500,440,101,14,39937.24722,3.35,932.31,1691.86,100000,0.155,0.598,29.95,174.06,5,100,40
324468387,2014-01-19 18:43:45+00:00,KSNA,2014-01-19 20:44:00+00:00,39.470001,-105.919998,29500,430,119,13,20353.91389,8.84,677.14,1261.71,100000,0.282,0.772,6.5,54.57,5,100,40
324485556,2014-01-19 18:43:45+00:00,KSLC,2014-01-19 22:47:00+00:00,41.18,-81.419998,34000,388,142,16,33874.74722,6.97,302.27,1732.43,100000,0.278,0.591,19.12,138.48,5,100,40
324516193,2014-01-19 18:43:45+00:00,KPHX,2014-01-19 19:44:00+00:00,37.279999,-117.519997,39100,474,122,13,14874.74722,6.67,760.04,1094.13,100000,0.262,0.454,5.19,95.01,5,100,40
324512885,2014-01-19 18:43:45+00:00,KFLL,2014-01-19 22:20:00+00:00,42.169998,-105.279999,35000,470,114,15,32603.91389,5.59,469.04,1984.99,100000,0.289,0.744,37.72,141.61,5,100,40
324471344,2014-01-19 18:43:45+00:00,KTPA,2014-01-19 19:58:00+00:00,34.799999,-84.529999,31000,498,111,15,17833.08056,7.84,377.65,1036.88,100000,0.081,0.562,20.13,190.74,5,100,40
324457302,2014-01-19 18:43:45+00:00,KSFO,2014-01-19 22:43:00+00:00,43.119999,-88,34000,372,116,15,35395.58056,3.34,499.03,1129.56,100000,0.074,0.449,35.4,124.86,5,100,40
324452136,2014-01-19 18:43:45+00:00,KLGA,2014-01-19 20:20:00+00:00,34.700001,-81.849998,36200,441,122,15,17916.41389,1.5,320.35,1247.41,100000,0.212,0.61,16.29,68.72,5,100,40
324506591,2014-01-19 18:43:45+00:00,KATL,2014-01-19 20:10:00+00:00,37.869999,-79.129997,28000,465,108,16,17062.24722,9.89,619.11,1175.35,100000,0.045,0.761,8.31,118.41,5,100,40
324516313,2014-01-19 18:43:45+00:00,KORD,2014-01-19 19:57:00+00:00,39.580002,-96,35000,488,109,14,18208.08056,5.7,398.17,1302.44,100000,0.299,0.772,18.07,65.46,5,100,40
324471164,2014-01-19 18:43:45+00:00,KIAH,2014-01-19 19:43:00+00:00,30.719999,-93.849998,24600,466,109,12,15583.08056,1.88,534.84,1849.35,100000,0.135,0.489,39.44,146.42,5,100,40
324481835,2014-01-19 18:43:45+00:00,KCVG,2014-01-19 19:00:00+00:00,38.830002,-78.949997,29000,396,101,12,15499.74722,4.47,864.49,1050.18,100000,0.149,0.589,4.24,198.18,5,100,40
324495410,2014-01-19 18:43:45+00:00,KDFW,2014-01-19 20:50:00+00:00,29.379999,-86.050003,30000,418,141,13,21520.58056,5.41,851.49,1609.85,100000,0.041,0.363,39.72,101.06,5,100,40
324468018,2014-01-19 18:43:45+00:00,KIND,2014-01-19 19:40:00+00:00,40.029999,-92.470001,35000,478,129,16,14645.58056,2.92,614.38,1627.27,100000,0.147,0.43,24.63,107.71,5,100,40
324506852,2014-01-19 18:43:45+00:00,KMCI,2014-01-19 21:40:00+00:00,39.900002,-76.18,23000,322,123,14,25228.91389,6.83,356.18,1697.27,100000,0.155,0.4,17.36,166.68,5,100,40
324474288,2014-01-19 18:43:45+00:00,KCVG,2014-01-19 20:20:00+00:00,28.879999,-81.150002,37000,451,112,15,19916.41389,6.51,622.3,1992.95,100000,0.14,0.863,34.51,51.71,5,100,40
324455847,2014-01-19 18:43:45+00:00,KPHL,2014-01-19 19:15:00+00:00,38.57,-76.980003,28500,418,110,15,12728.91389,1.67,661.3,1530.35,100000,0.296,0.455,25.74,166.56,5,100,40
324452153,2014-01-19 18:43:45+00:00,KLGA,2014-01-19 20:00:00+00:00,35.919998,-79.43,29000,422,117,15,16583.08056,8.17,954.95,1626.23,100000,0.028,0.492,33.32,120.91,5,100,40
324452552,2014-01-19 18:43:45+00:00,KSNA,2014-01-19 19:42:00+00:00,34.700001,-112.330002,37900,412,137,16,18812.24722,3.08,408.18,1458.59,100000,0.299,0.754,31.47,75.16,5,100,40
324490503,2014-01-19 18:43:45+00:00,KRDU,2014-01-19 21:30:00+00:00,36,-97.830002,37000,494,117,14,27124.74722,1.85,870.53,1969.75,100000,0.105,0.791,20.77,124.7,5,100,40
324510272,2014-01-19 18:43:45+00:00,KIAH,2014-01-19 20:55:00+00:00,34.849998,-85.129997,36000,427,110,12,22145.58056,3.06,869.59,1260.37,100000,0.283,0.686,1.48,48.86,5,100,40
324467125,2014-01-19 18:43:45+00:00,KIAH,2014-01-19 20:25:00+00:00,33.900002,-89.68,36000,420,106,16,19583.08056,4.46,838.1,1669.13,100000,0.189,0.89,15.78,95.8,5,100,40
324496118,2014-01-19 18:43:45+00:00,KMSY,2014-01-19 20:40:00+00:00,40.380001,-88.279999,36400,464,136,16,19853.91389,1.25,886.55,1680.81,100000,0.175,0.577,26.17,147.4,5,100,40
324499121,2014-01-19 18:43:45+00:00,KJFK,2014-01-19 20:23:00+00:00,42.369999,-81.970001,35000,508,129,12,18978.91389,5.57,492.45,1892.79,100000,0.124,0.758,10.16,198.9,5,100,40
324516939,2014-01-19 18:43:45+00:00,KDEN,2014-01-19 19:30:00+00:00,39.049999,-102.949997,30800,429,110,13,14208.08056,9.17,377.06,1705.8,100000,0.13,0.634,5.92,167.3,5,100,40
324485314,2014-01-19 18:43:45+00:00,KLAX,2014-01-19 21:55:00+00:00,38.720001,-97.699997,36000,394,123,16,30874.74722,6.35,739.16,1869.19,100000,0.168,0.756,35.98,110.89,5,100,40
324469261,2014-01-19 18:43:45+00:00,KSNA,2014-01-19 19:30:00+00:00,33.98,-115.730003,37600,409,102,15,15187.24722,1.97,979.46,1561.17,100000,0.241,0.509,28.44,45.8,5,100,40
324507134,2014-01-19 18:43:45+00:00,KCLT,2014-01-19 20:26:00+00:00,35.98,-93.629997,33000,487,137,13,20666.41389,7.76,506.59,1157.74,100000,0.157,0.862,22.21,44.12,5,100,40
324513290,2014-01-19 18:43:45+00:00,KCLT,2014-01-19 20:15:00+00:00,37.369999,-91.699997,35000,495,140,14,20478.91389,5.68,997.71,1313.04,100000,0.049,0.717,12.92,121.88,5,100,40
324457120,2014-01-19 18:43:45+00:00,KIAH,2014-01-19 22:08:00+00:00,39.75,-76.449997,29900,417,112,13,30187.24722,7.71,416.85,1662.17,100000,0.236,0.455,6.83,112.04,5,100,40
324496596,2014-01-19 18:43:45+00:00,KIAH,2014-01-19 19:48:00+00:00,30.83,-93.75,27200,435,123,13,13770.58056,6.47,694.68,1567.7,100000,0.137,0.483,4.79,137.11,5,100,40
324482239,2014-01-19 18:43:45+00:00,KDTW,2014-01-19 19:46:00+00:00,38.82,-87.050003,37000,449,103,14,16062.24722,5.05,916.13,1582.2,100000,0.298,0.655,5.1,73.66,5,100,40
324458435,2014-01-19 18:43:45+00:00,KSJC,2014-01-19 19:15:00+00:00,35.869999,-120.779999,36000,407,112,12,11124.74722,3.75,999.05,1671.08,100000,0.25,0.453,18.51,195.87,5,100,40
324511530,2014-01-19 18:43:45+00:00,KATL,2014-01-19 19:49:00+00:00,35.049999,-91.449997,39000,499,119,13,17666.41389,1.11,929.91,1293.23,100000,0.3,0.726,13.42,70.65,5,100,40
324468121,2014-01-19 18:43:45+00:00,KMCO,2014-01-19 20:29:00+00:00,35.299999,-91.830002,37000,497,121,13,20645.58056,6.23,341.65,1040.14,100000,0.295,0.78,33.73,85.07,5,100,40
324490329,2014-01-19 18:43:45+00:00,KMCO,2014-01-19 20:50:00+00:00,30.23,-95.919998,41000,511,122,13,23437.24722,9.89,345.81,1621.81,100000,0.128,0.482,27.74,145.85,5,100,40
324469083,2014-01-19 18:43:45+00:00,KPHL,2014-01-19 20:10:00+00:00,36.75,-84.68,31000,428,102,14,17666.41389,3.68,676.01,1653.5,100000,0.188,0.358,17.63,129.96,5,100,40
324481169,2014-01-19 18:43:45+00:00,KMDW,2014-01-19 19:40:00+00:00,37.23,-91.82,41000,436,103,15,15020.58056,7.62,956.09,1856.31,100000,0.089,0.374,9.39,130.17,5,100,40
324467761,2014-01-19 18:43:45+00:00,KATL,2014-01-19 19:51:00+00:00,39.029999,-101.769997,32600,458,118,14,21999.74722,3.31,656.03,1665.08,100000,0.113,0.634,33.35,156.42,5,100,40
324515798,2014-01-19 18:43:45+00:00,KBUR,2014-01-19 20:31:00+00:00,39.799999,-112.580002,24000,389,106,14,18624.74722,4.25,434.54,1366.77,100000,0.167,0.873,24.57,112.28,5,100,40
324490332,2014-01-19 18:43:45+00:00,KMCO,2014-01-19 21:15:00+00:00,31.67,-101.120003,37000,500,103,13,25499.74722,7.89,704.86,1041.6,100000,0.113,0.364,21.57,98.59,5,100,40
324455723,2014-01-19 18:43:45+00:00,KBOS,2014-01-19 20:15:00+00:00,37.299999,-82.93,33000,464,120,13,18249.74722,3.36,520.7,1178.94,100000,0.256,0.381,20.84,40.03,5,100,40
324473210,2014-01-19 18:43:45+00:00,KIAH,2014-01-19 21:10:00+00:00,35.630001,-84.25,34000,424,104,13,24353.91389,5.42,404.79,1147.63,100000,0.069,0.897,3.25,74.25,5,100,40
324490336,2014-01-19 18:43:45+00:00,KMDW,2014-01-19 21:35:00+00:00,36.830002,-112.57,37000,480,107,14,26812.24722,5.22,483.59,1601.32,100000,0.189,0.757,39.34,195.57,5,100,40
324491433,2014-01-19 18:43:45+00:00,KMKE,2014-01-19 20:15:00+00:00,41.849998,-76.830002,37000,380,111,13,19291.41389,2.64,875.05,1105.33,100000,0.259,0.526,18.51,193.71,5,100,40
324499252,2014-01-19 18:43:45+00:00,KPHX,2014-01-19 20:44:00+00:00,40.970001,-100.849998,34000,451,104,14,22041.41389,8.21,770.83,1223.72,100000,0.225,0.558,26.66,55.16,5,100,40
324482238,2014-01-19 18:43:45+00:00,KDTW,2014-01-19 19:22:00+00:00,41.029999,-85.120003,22300,431,124,13,14103.91389,5.71,796.45,1442.26,100000,0.206,0.695,20.16,89.42,5,100,40
324472644,2014-01-19 18:43:45+00:00,KDFW,2014-01-19 19:30:00+00:00,32.220001,-98.93,33500,492,118,13,12770.58056,4.88,564.62,1946.83,100000,0.172,0.6,23.67,190.87,5,100,40
324515845,2014-01-19 18:43:45+00:00,KDTW,2014-01-19 19:10:00+00:00,43.119999,-89.529999,39000,535,131,13,13916.41389,8.59,409.48,1790.02,100000,0.215,0.521,30.26,52.7,5,100,40
324499190,2014-01-19 18:43:45+00:00,KMIA,2014-01-19 19:52:00+00:00,27.58,-82.599998,27000,464,131,13,17312.24722,4.56,350.53,1548.01,100000,0.06,0.795,24.21,71.89,5,100,40
324457215,2014-01-19 18:43:45+00:00,KORD,2014-01-19 20:00:00+00:00,43.07,-80.949997,34000,370,140,12,17041.41389,7.36,586.67,1955.59,100000,0.231,0.57,19.39,55.44,5,100,40
324506789,2014-01-19 18:43:45+00:00,KIAH,2014-01-19 20:25:00+00:00,32.919998,-88.849998,36000,413,127,12,20478.91389,3.84,516.2,1881.64,100000,0.189,0.677,29.97,199.17,5,100,40
324515847,2014-01-19 18:43:45+00:00,KDTW,2014-01-19 20:18:00+00:00,42.73,-96.68,33000,481,133,15,19874.74722,9.93,870.11,1510.16,100000,0.032,0.6,21.38,84.21,5,100,40
324504104,2014-01-19 18:43:45+00:00,KTUS,2014-01-19 19:25:00+00:00,32.380001,-109.279999,32500,365,140,13,15395.58056,3.45,469.27,1167.62,100000,0.056,0.642,15.76,97.98,5,100,40
324481145,2014-01-19 18:43:45+00:00,KJFK,2014-01-19 21:30:00+00:00,30.299999,-91.919998,35000,460,124,14,24645.58056,5.63,883.72,1497.98,100000,0.212,0.768,19.76,188.26,5,100,40
324481085,2014-01-19 18:43:45+00:00,KBOS,2014-01-19 20:45:00+00:00,38.950001,-86.370003,37000,457,109,12,21770.58056,9.64,702.78,1102.13,100000,0.23,0.377,26.2,173.49,5,100,40
324505432,2014-01-19 18:43:45+00:00,KTUS,2014-01-19 20:05:00+00:00,38.700001,-114.43,39000,473,130,15,17228.91389,8.81,507.34,1995.63,100000,0.1,0.68,26.69,137,5,100,40
324505270,2014-01-19 18:43:45+00:00,KDEN,2014-01-19 20:35:00+00:00,44.869999,-120.529999,37000,474,102,13,19603.91389,8.85,718.81,1326.86,100000,0.062,0.449,8.97,129.11,5,100,40
324463560,2014-01-19 18:43:45+00:00,KIND,2014-01-19 19:44:00+00:00,36.27,-81.800003,28400,405,130,15,14437.24722,5.93,470.76,1816.08,100000,0.129,0.804,30.97,97.91,5,100,40
324471330,2014-01-19 18:43:45+00:00,KSLC,2014-01-19 21:13:00+00:00,42.650002,-91.269997,34000,393,141,15,26583.08056,8.17,802.1,1077.85,100000,0.25,0.563,35.93,91.29,5,100,40
324513406,2014-01-19 18:43:45+00:00,KJFK,2014-01-19 22:05:00+00:00,40.599998,-104.650002,37000,459,122,14,30624.74722,2.04,414.57,1081.08,100000,0.161,0.878,4.56,189.31,5,100,40
324497427,2014-01-19 18:43:45+00:00,KDFW,2014-01-19 19:40:00+00:00,31.85,-94.580002,30000,418,129,12,16166.41389,1.29,750.66,1850.13,100000,0.22,0.811,11.19,165.75,5,100,40
324495421,2014-01-19 18:43:45+00:00,KDTW,2014-01-19 20:33:00+00:00,33.169998,-82,29000,382,130,14,19353.91389,7.07,768,1149.09,100000,0.177,0.481,30.09,87.77,5,100,40
324507356,2014-01-19 18:43:45+00:00,KOAK,2014-01-19 19:51:00+00:00,35.119999,-114.169998,34000,425,137,14,16145.58056,3.71,476.05,1222.36,100000,0.177,0.384,33.49,66.79,5,100,40
324497628,2014-01-19 18:43:45+00:00,KMSY,2014-01-19 20:20:00+00:00,26.75,-81.32,31500,413,130,12,17791.41389,2.24,306.8,1976.21,100000,0.058,0.608,26.68,199.25,5,100,40
324467845,2014-01-19 18:43:45+00:00,KCMH,2014-01-19 20:40:00+00:00,40.220001,-98.849998,35000,483,112,13,20187.24722,1.29,909.34,1419.26,100000,0.262,0.632,16.54,113.1,5,100,40
324513597,2014-01-19 18:43:45+00:00,KPHX,2014-01-19 19:08:00+00:00,33.330002,-113.5,19400,420,113,15,12041.41389,3.42,655.25,1354.31,100000,0.078,0.687,33.5,158.28,5,100,40
