id,easting,northing,altitude,departure_airport,arrival_airport,standard_passengers,premium_passengers,initial_fuel,consumed_fuel,scheduled_gate_departure,actual_gate_departure,scheduled_runway_arrival,scheduled_gate_arrival,fuel_cost,crew_delay_cost,other_hourly_costs,nonarrival_penalty,delay_cost_proportion_30m,delay_cost_proportion_2h,max_standard_delay_cost,max_premium_delay_cost,FreeAltitudeChanges,AltitudeChangeCost,TurbulenceCostPer6Minutes
325390939,53.591218,323.714023,18500,KPHL,KIAH,142,12,31979.2,19344.5,-4.052239,-3.868906,-0.302239,-0.135573,1.52,561.9,1643.97,100000,0.21,0.78,17.39,132.37,5,100,40
325350299,-129.014988,851.870483,37000,KDEN,KBNA,126,14,22083.3,4344.5,-0.902239,-0.868906,1.297761,1.431094,5.02,973.89,1859.07,100000,0.196,0.866,35.1,44.66,5,100,40
325349684,570.836534,693.278049,34000,KDCA,KMSY,113,13,26562.5,10094.5,-1.902239,-2.018906,1.464428,1.147761,1.16,869.28,1801.67,100000,0.164,0.846,13.33,133.22,5,100,40
325373586,-1074.027013,604.191556,31000,KLAX,KPHX,114,14,15416.7,2761.2,-0.485573,-0.552239,0.714428,0.781094,9.1,615.23,1426,100000,0.193,0.495,6.31,67.15,5,100,40
325378915,525.009857,831.396604,34000,KMCO,KORD,114,12,25729.2,8677.9,-1.818906,-1.735573,0.797761,1.097761,1.24,702.12,1116.86,100000,0.184,0.525,28.08,115.43,5,100,40
325400532,-183.645455,995.317191,39000,KSNA,KEWR,126,16,40312.5,12844.5,-3.568906,-2.568906,1.664428,1.681094,3.03,674.05,1999.47,100000,0.153,0.363,28.94,46.67,5,100,40
325351432,317.12533,252.236687,26900,KDFW,KMIA,122,12,24166.7,6511.2,-1.235573,-1.302239,1.214428,1.431094,5.44,773.92,1400.59,100000,0.082,0.87,18.21,115.67,5,100,40
325397152,-510.236738,852.556346,37000,KSEA,KDFW,135,12,30937.5,11011.2,-2.068906,-2.202239,1.131094,1.681094,7.12,747.93,1033.6,100000,0.206,0.704,27.53,174.34,5,100,40
325346022,703.164153,567.928423,32000,KCLT,KPBI,108,15,18541.7,3427.9,-0.585573,-0.685573,1.097761,1.181094,4.32,792.76,1375.33,100000,0.216,0.724,7.07,63.44,5,100,40
325368247,848.507114,544.731347,37900,KJFK,KFLL,104,15,27187.5,11594.5,-2.235573,-2.318906,1.197761,0.914428,5.64,731.52,1335.82,100000,0.155,0.857,18.11,176.4,5,100,40
325339391,-731.806413,941.735247,36000,KBOS,KSFO,143,16,50208.3,24094.5,-4.902239,-4.818906,1.214428,1.931094,7.48,979.54,1494.66,100000,0.24,0.734,11.87,46.54,5,100,40
325350666,-328.4775,853.283224,35000,KDEN,KOKC,114,13,16875,2427.9,-0.818906,-0.485573,0.814428,0.681094,3.27,797.29,1213.65,100000,0.148,0.737,8.08,183.04,5,100,40
325368245,787.439054,241.565849,34000,KJFK,KFLL,102,13,26666.7,14677.9,-3.102239,-2.935573,0.714428,-0.035573,6.98,492.15,1055.96,100000,0.262,0.386,9.22,47.91,5,100,40
325350791,-474.604668,967.673043,27800,KDEN,KSEA,128,16,26770.8,2177.9,-0.318906,-0.435573,2.231094,2.764428,9.91,357.57,1704.99,100000,0.28,0.772,36.92,133.82,5,100,40
325381055,594.909919,275.474143,32000,KMIA,KLAX,113,16,44479.2,5261.2,-0.985573,-1.052239,4.731094,4.931094,5.09,622.21,1568.62,100000,0.022,0.537,19.51,162.41,5,100,40
325350491,-187.455013,510.586891,39000,KDEN,KIAH,139,16,22187.5,6344.5,-1.502239,-1.268906,0.747761,0.847761,2.98,852.89,1725.77,100000,0.08,0.467,30.11,59.94,5,100,40
325364780,922.435871,934.89905,26600,KIAD,KBOS,137,14,17187.5,5427.9,-1.218906,-1.085573,0.597761,0.331094,4.76,893.04,1195.98,100000,0.075,0.769,39.68,74.65,5,100,40
325383203,321.02083,247.590742,34700,KMSY,KMCO,121,13,17395.8,1677.9,-0.318906,-0.335573,1.014428,1.264428,3.6,799.75,1139.83,100000,0.012,0.785,7.48,83.36,5,100,40
325356199,924.540539,1027.071635,25000,KEWR,KSFO,140,15,48333.3,5761.2,-1.768906,-1.152239,5.764428,4.764428,3.36,799.36,1450.38,100000,0.253,0.447,39.17,57.55,5,100,40
325401289,-830.320333,719.296415,34000,KSTL,KLAX,103,16,33541.7,13927.9,-3.068906,-2.785573,0.831094,1.097761,2.19,973.54,1927.03,100000,0.132,0.85,18.58,121.08,5,100,40
325391361,-421.13864,653.373767,31000,KPHX,KDTW,118,16,31979.2,8844.5,-1.735573,-1.768906,1.997761,2.181094,8.09,667.82,1694.73,100000,0.267,0.688,20.22,44.29,5,100,40
325397837,20.76982,1120.081475,35000,KSFO,KORD,128,12,34062.5,14594.5,-2.818906,-2.918906,1.547761,1.431094,9.3,830.29,1886.15,100000,0.265,0.722,9.3,103.02,5,100,40
325350600,306.685111,565.989155,39000,KDEN,KMCO,137,16,28854.2,9344.5,-1.902239,-1.868906,1.281094,1.514428,2.29,598.26,1978.22,100000,0.197,0.582,26.86,102.78,5,100,40
325397833,-485.904719,1128.129574,37000,KSFO,KORD,124,16,33750,10261.2,-1.985573,-2.052239,1.797761,2.214428,2.97,351.56,1326.42,100000,0.189,0.879,30.53,166.03,5,100,40
325353741,198.436007,1019.618118,36000,KDTW,KLAX,134,14,39270.8,6427.9,-1.235573,-1.285573,2.997761,3.847761,4.58,620.31,1500.64,100000,0.018,0.838,38.96,60.26,5,100,40
